,,,,,,,,,,,,,,,,,,,,,,
,violet,,yellow,,white,,blue,,green,,red,,IR,,Violet voltage,Violet current,,,,,,
,1.02 -0.30 ,,,,,,,,,,,,,,1.02 0.10 ,,,,,,,
,1.02 0.00 ,,,,,,,,,,,,,,1.02 -0.20 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.20 ,,,,,,,
,1.02 -0.50 ,,,,,,,,,,,,,,1.02 -0.20 ,,,,,,,
,1.02 -0.30 ,,,,,,,,,,,,,,1.02 0.00 ,,,,,,,
,1.02 -0.30 ,,,,,,,,,,,,,,1.02 0.00 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.20 ,,,,,,,
,1.02 -0.40 ,,,,,,,,,,,,,,1.02 0.00 ,,,,,,,
,1.03 0.00 ,,,,,,,,,,,,,,1.02 -0.10 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.30 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.03 -0.20 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.30 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.10 ,,,,,,,
,1.02 -0.30 ,,,,,,,,,,,,,,1.02 -0.30 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.40 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 0.10 ,,,,,,,
,1.03 -0.20 ,,,,,,,,,,,,,,1.02 -0.20 ,,,,,,,
,1.02 -0.40 ,,,,,,,,,,,,,,1.02 -0.30 ,,,,,,,
,1.02 -0.30 ,,,,,,,,,,,,,,1.02 -0.30 ,,,,,,,
,1.02 -0.20 ,,,,,,,,,,,,,,1.02 0.00 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.30 ,,,,,,,
,1.02 -0.20 ,,,,,,,,,,,,,,1.02 0.00 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.30 ,,,,,,,
,1.02 -0.40 ,,,,,,,,,,,,,,1.02 0.10 ,,,,,,,
,1.02 -0.20 ,,,,,,,,,,,,,,1.02 -0.10 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.10 ,,,,,,,
,1.02 -0.20 ,,,,,,,,,,,,,,1.02 -0.30 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.10 ,,,,,,,
,1.02 -0.30 ,,,,,,,,,,,,,,1.02 0.10 ,,,,,,,
,1.02 0.00 ,,,,,,,,,,,,,,1.02 -0.30 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.02 -0.10 ,,,,,,,
,1.03 -0.40 ,,,,,,,,,,,,,,1.02 -0.20 ,,,,,,,
,1.02 0.00 ,,,,,,,,,,,,,,1.03 -0.30 ,,,,,,,
,1.03 -0.30 ,,,,,,,,,,,,,,1.02 -0.10 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.03 -0.10 ,,,,,,,
,1.02 -0.20 ,,,,,,,,,,,,,,1.03 -0.10 ,,,,,,,
,1.02 0.00 ,,,,,,,,,,,,,,1.04 -0.30 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.05 -0.20 ,,,,,,,
,1.02 -0.20 ,,,,,,,,,,,,,,1.06 -0.20 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.07 -0.30 ,,,,,,,
,1.02 0.00 ,,,,,,,,,,,,,,1.08 -0.10 ,,,,,,,
,1.02 -0.20 ,,,,,,,,,,,,,,1.11 0.00 ,,,,,,,
,1.02 -0.30 ,,,,,,,,,,,,,,1.12 -0.30 ,,,,,,,
,1.03 0.10 ,,,,,,,,,,,,,,1.14 -0.10 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.16 -0.10 ,,,,,,,
,1.02 0.00 ,,,,,,,,,,,,,,1.18 -0.40 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.20 0.00 ,,,,,,,
,1.02 0.00 ,,,,,,,,,,,,,,1.22 -0.10 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.25 0.00 ,,,,,,,
,1.02 -0.30 ,,,,,,,,,,,,,,1.27 0.10 ,,,,,,,
,1.03 -0.20 ,,,,,,,,,,,,,,1.30 -0.20 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.32 -0.10 ,,,,,,,
,1.02 -0.20 ,,,,,,,,,,,,,,1.34 -0.10 ,,,,,,,
,1.02 -0.10 ,,,,,,,,,,,,,,1.36 0.00 ,,,,,,,
,1.02 -0.20 ,,,,,,,,,,,,,,1.38 -0.20 ,,,,,,,
,1.02 0.00 ,,,,,,,,,,,,,,1.41 -0.10 ,,,,,,,
,1.02 -0.30 ,,,,,,,,,,,,,,1.43 0.10 ,,,,,,,
,1.03 0.00 ,,,,,,,,,,,,,,1.45 -0.40 ,,,,,,,
,1.03 0.00 ,,,,,,,,,,,,,,1.47 -0.10 ,,,,,,,
,1.03 -0.10 ,,,,,,,,,,,,,,1.50 -0.10 ,,,,,,,
,1.04 0.00 ,,,,,,,,,,,,,,1.52 -0.20 ,,,,,,,
,1.04 -0.10 ,,,,,,,,,,,,,,1.54 0.00 ,,,,,,,
,,,,,,,,,,,,,,,1.57 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,1.59 0.00 ,,,,,,,
,,,,,,,,,,,,,,,1.61 0.10 ,,,,,,,
,,,,,,,,,,,,,,,1.64 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,1.66 0.00 ,,,,,,,
,,,,,,,,,,,,,,,1.68 -0.20 ,,,,,,,
,,,,,,,,,,,,,,,1.71 0.10 ,,,,,,,
,,,,,,,,,,,,,,,1.73 0.10 ,,,,,,,
,,,,,,,,,,,,,,,1.75 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,1.78 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,1.80 0.00 ,,,,,,,
,,,,,,,,,,,,,,,1.83 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,1.85 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,1.88 -0.20 ,,,,,,,
,,,,,,,,,,,,,,,1.90 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,1.92 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,1.94 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,1.97 -0.40 ,,,,,,,
,,,,,,,,,,,,,,,2.00 -0.40 ,,,,,,,
,,,,,,,,,,,,,,,2.02 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.04 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.06 0.00 ,,,,,,,
,,,,,,,,,,,,,,,2.08 0.00 ,,,,,,,
,,,,,,,,,,,,,,,2.11 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.13 0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.16 0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.18 -0.40 ,,,,,,,
,,,,,,,,,,,,,,,2.20 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.22 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.24 0.20 ,,,,,,,
,,,,,,,,,,,,,,,2.27 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.30 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.32 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.34 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.36 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.39 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.41 0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.44 0.00 ,,,,,,,
,,,,,,,,,,,,,,,2.46 0.00 ,,,,,,,
,,,,,,,,,,,,,,,2.49 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.51 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.53 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.55 0.00 ,,,,,,,
,,,,,,,,,,,,,,,2.58 0.00 ,,,,,,,
,,,,,,,,,,,,,,,2.60 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.62 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.64 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.66 0.00 ,,,,,,,
,,,,,,,,,,,,,,,2.69 -0.20 ,,,,,,,
,,,,,,,,,,,,,,,2.71 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.73 -0.20 ,,,,,,,
,,,,,,,,,,,,,,,2.75 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.77 -0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.79 -0.20 ,,,,,,,
,,,,,,,,,,,,,,,2.80 -0.30 ,,,,,,,
,,,,,,,,,,,,,,,2.82 0.00 ,,,,,,,
,,,,,,,,,,,,,,,2.84 -0.20 ,,,,,,,
,,,,,,,,,,,,,,,2.86 0.10 ,,,,,,,
,,,,,,,,,,,,,,,2.87 0.00 ,,,,,,,
,,,,,,,,,,,,,,,2.88 0.00 ,,,,,,,
,,,,,,,,,,,,,,,2.90 0.20 ,,,,,,,
,,,,,,,,,,,,,,,2.91 0.40 ,,,,,,,
,,,,,,,,,,,,,,,2.93 0.40 ,,,,,,,
,,,,,,,,,,,,,,,2.94 0.70 ,,,,,,,
,,,,,,,,,,,,,,,2.96 1.40 ,,,,,,,
,,,,,,,,,,,,,,,2.98 1.40 ,,,,,,,
,,,,,,,,,,,,,,,2.99 2.20 ,,,,,,,
,,,,,,,,,,,,,,,3.01 2.80 ,,,,,,,
,,,,,,,,,,,,,,,3.02 3.20 ,,,,,,,
,,,,,,,,,,,,,,,3.05 4.20 ,,,,,,,
,,,,,,,,,,,,,,,3.06 4.80 ,,,,,,,
,,,,,,,,,,,,,,,3.08 5.80 ,,,,,,,
,,,,,,,,,,,,,,,3.09 6.70 ,,,,,,,
,,,,,,,,,,,,,,,3.11 7.80 ,,,,,,,
,,,,,,,,,,,,,,,3.12 9.20 ,,,,,,,
,,,,,,,,,,,,,,,3.15 10.50 ,,,,,,,
,,,,,,,,,,,,,,,3.16 12.00 ,,,,,,,
,,,,,,,,,,,,,,,3.18 13.10 ,,,,,,,
,,,,,,,,,,,,,,,3.20 14.60 ,,,,,,,
,,,,,,,,,,,,,,,3.21 16.00 ,,,,,,,
,,,,,,,,,,,,,,,3.23 17.80 ,,,,,,,
,,,,,,,,,,,,,,,3.25 19.00 ,,,,,,,
,,,,,,,,,,,,,,,3.26 21.20 ,,,,,,,
,,,,,,,,,,,,,,,3.28 22.80 ,,,,,,,
,,,,,,,,,,,,,,,3.30 24.30 ,,,,,,,
,,,,,,,,,,,,,,,3.32 26.20 ,,,,,,,
,,,,,,,,,,,,,,,3.33 28.00 ,,,,,,,
,,,,,,,,,,,,,,,3.35 29.80 ,,,,,,,
,,,,,,,,,,,,,,,3.37 31.90 ,,,,,,,
,,,,,,,,,,,,,,,3.38 33.90 ,,,,,,,
,,,,,,,,,,,,,,,3.40 35.80 ,,,,,,,
,,,,,,,,,,,,,,,3.42 37.70 ,,,,,,,
,,,,,,,,,,,,,,,3.44 39.80 ,,,,,,,
,,,,,,,,,,,,,,,3.45 41.50 ,,,,,,,
,,,,,,,,,,,,,,,3.48 43.60 ,,,,,,,
,,,,,,,,,,,,,,,3.49 45.60 ,,,,,,,
,,,,,,,,,,,,,,,3.51 48.10 ,,,,,,,
,,,,,,,,,,,,,,,3.52 50.00 ,,,,,,,
,,,,,,,,,,,,,,,3.54 51.90 ,,,,,,,
,,,,,,,,,,,,,,,3.56 54.20 ,,,,,,,
,,,,,,,,,,,,,,,3.57 55.80 ,,,,,,,
,,,,,,,,,,,,,,,3.59 58.80 ,,,,,,,
,,,,,,,,,,,,,,,3.61 60.40 ,,,,,,,
,,,,,,,,,,,,,,,3.62 63.00 ,,,,,,,
,,,,,,,,,,,,,,,3.64 64.90 ,,,,,,,
,,,,,,,,,,,,,,,3.65 66.90 ,,,,,,,
,,,,,,,,,,,,,,,3.67 69.50 ,,,,,,,
,,,,,,,,,,,,,,,3.68 71.50 ,,,,,,,
,,,,,,,,,,,,,,,3.71 74.50 ,,,,,,,
,,,,,,,,,,,,,,,3.72 76.50 ,,,,,,,
,,,,,,,,,,,,,,,3.74 78.90 ,,,,,,,
,,,,,,,,,,,,,,,3.75 80.60 ,,,,,,,
,,,,,,,,,,,,,,,3.75 80.60 ,,,,,,,
,,,,,,,,,,,,,,,3.76 81.20 ,,,,,,,
