,,,,,,,,,,,,,,,,,,,,,,
,violet,,yellow,,white,,blue,,green,,red,,IR,,Violet voltage,Violet current,,,,,,
,1.02 -0.20 ,,2.26 33.50 ,,2.52 0.10 ,,1.54 0.00 ,,1.45 -0.10 ,,1.51 0.20 ,,0.82 -0.10 ,,2.11,0,,,,,,"        Serial.print("" "");  //Add a space between the voltage reading and the next reading taken "
,1.02 -0.30 ,,2.28 37.00 ,,2.54 -0.10 ,,1.57 0.00 ,,1.47 0.10 ,,1.53 0.10 ,,0.82 0.00 ,,2.14,-0.1,,,,,,
,1.02 -0.10 ,,2.28 39.70 ,,2.56 0.00 ,,1.59 0.00 ,,1.50 -0.10 ,,1.54 0.00 ,,0.81 -0.20 ,,2.16,-0.3,,,,,,        if(currentAcrossLED>100){  //Make a break condition
,1.02 -0.10 ,,2.30 43.70 ,,2.57 0.10 ,,1.61 0.00 ,,1.52 -0.30 ,,1.56 -0.10 ,,0.81 -0.10 ,,2.18,-0.2,,,,,,          i = 4096;
,1.03 -0.10 ,,2.32 46.80 ,,2.58 0.20 ,,1.63 -0.10 ,,1.54 -0.30 ,,1.57 0.00 ,,0.81 -0.20 ,,2.21,-0.3,,,,,,        }
,1.03 0.00 ,,2.33 49.70 ,,2.60 0.30 ,,1.66 -0.20 ,,1.56 -0.20 ,,1.58 -0.10 ,,0.82 -0.20 ,,2.23,-0.3,,,,,,
,1.03 0.20 ,,2.34 53.30 ,,2.62 0.60 ,,1.68 -0.30 ,,1.58 -0.40 ,,1.60 -0.10 ,,0.81 -0.20 ,,2.25,-0.1,,,,,,"        dac_LEDsupply.setVoltage(0,false);// Turn off the LED voltage supply."
,1.03 0.00 ,,2.36 56.50 ,,2.63 1.10 ,,1.71 -0.10 ,,1.60 -0.10 ,,1.62 -0.10 ,,0.81 -0.10 ,,2.28,-0.3,,,,,,        delay(30); // Let the system cool
,1.04 -0.10 ,,2.37 60.90 ,,2.65 1.70 ,,1.73 0.10 ,,1.62 0.00 ,,1.63 0.10 ,,0.81 -0.30 ,,2.3,-0.4,,,,,,"        Serial.println(""""); // Start a new line for your next run through the loop. "
,1.05 -0.30 ,,2.38 64.80 ,,2.66 1.80 ,,1.75 -0.20 ,,1.64 -0.10 ,,1.65 0.30 ,,0.81 -0.20 ,,2.33,-0.2,,,,,,        
,1.06 -0.30 ,,2.40 69.10 ,,2.68 2.30 ,,1.77 0.00 ,,1.66 0.00 ,,1.66 0.20 ,,0.81 -0.30 ,,2.35,-0.1,,,,,,
,1.07 -0.20 ,,2.41 72.90 ,,2.69 2.60 ,,1.80 -0.30 ,,1.68 -0.30 ,,1.67 0.30 ,,0.81 -0.30 ,,2.36,-0.1,,,,,,}
,1.08 -0.30 ,,2.42 76.30 ,,2.71 3.40 ,,1.83 -0.10 ,,1.69 -0.10 ,,1.70 0.50 ,,0.81 -0.40 ,,2.39,-0.1,,,,,,
,1.10 -0.20 ,,2.44 80.50 ,,2.73 4.10 ,,1.84 -0.10 ,,1.71 0.10 ,,1.71 0.70 ,,0.81 -0.30 ,,2.42,-0.1,,,,,,}
,1.12 -0.10 ,,2.45 84.90 ,,2.75 4.40 ,,1.87 -0.10 ,,1.72 0.00 ,,1.73 1.10 ,,0.82 -0.20 ,,2.44,0,,,,,,
,1.14 -0.20 ,,2.46 89.90 ,,2.77 5.30 ,,1.89 -0.10 ,,1.74 0.20 ,,1.75 1.50 ,,0.81 0.00 ,,2.47,-0.2,,,,,,
,1.16 0.10 ,,2.48 94.40 ,,2.78 6.10 ,,1.92 -0.40 ,,1.76 0.10 ,,1.76 1.90 ,,0.81 -0.10 ,,2.49,-0.2,,,,,,
,1.18 -0.10 ,,2.48 99.30 ,,2.80 6.90 ,,1.94 -0.10 ,,1.78 -0.10 ,,1.78 2.40 ,,0.81 -0.20 ,,2.51,0,,,,,,
,1.20 -0.30 ,,2.49 103.10 ,,2.82 7.40 ,,1.96 -0.10 ,,1.79 0.10 ,,1.80 2.70 ,,0.81 0.00 ,,2.54,0.1,,,,,,
,1.22 -0.20 ,,1.02 -0.20 ,,2.84 8.60 ,,1.99 0.00 ,,1.80 0.10 ,,1.81 3.70 ,,0.81 0.00 ,,2.56,-0.1,,,,,,
,1.25 -0.10 ,,1.02 -0.20 ,,2.86 9.40 ,,2.01 -0.50 ,,1.82 0.10 ,,1.83 4.20 ,,0.81 -0.40 ,,2.58,-0.1,,,,,,
,1.27 -0.30 ,,1.02 -0.20 ,,2.88 10.40 ,,2.03 -0.10 ,,1.84 0.50 ,,1.85 5.20 ,,0.81 -0.20 ,,2.61,-0.2,,,,,,
,1.29 -0.20 ,,1.02 -0.60 ,,2.90 11.20 ,,2.05 -0.30 ,,1.85 1.00 ,,1.87 5.50 ,,0.81 -0.30 ,,2.63,0.1,,,,,,
,1.31 -0.40 ,,1.02 0.00 ,,2.91 12.20 ,,2.07 -0.30 ,,1.87 1.00 ,,1.89 6.80 ,,0.81 0.00 ,,2.65,-0.1,,,,,,
,1.34 -0.10 ,,1.02 -0.20 ,,2.93 13.30 ,,2.10 -0.10 ,,1.88 1.50 ,,1.90 7.40 ,,0.81 -0.10 ,,2.67,0,,,,,,
,1.36 -0.10 ,,1.02 -0.20 ,,2.95 14.20 ,,2.12 0.00 ,,1.90 2.30 ,,1.92 8.40 ,,0.82 -0.10 ,,2.7,-0.1,,,,,,
,1.39 -0.10 ,,1.02 -0.10 ,,2.97 15.30 ,,2.14 -0.10 ,,1.91 2.60 ,,1.94 10.00 ,,0.82 -0.10 ,,2.71,-0.3,,,,,,
,1.41 -0.10 ,,1.02 -0.20 ,,2.99 16.30 ,,2.16 -0.10 ,,1.92 3.90 ,,1.96 11.10 ,,0.81 -0.20 ,,2.74,-0.3,,,,,,
,1.43 -0.30 ,,1.02 -0.30 ,,3.00 17.50 ,,2.18 0.10 ,,1.94 4.90 ,,1.98 12.30 ,,0.82 -0.30 ,,2.76,0,,,,,,
,1.46 0.10 ,,1.02 -0.10 ,,3.03 19.00 ,,2.20 -0.20 ,,1.96 6.90 ,,1.99 13.60 ,,0.81 -0.30 ,,2.78,-0.1,,,,,,
,1.48 -0.20 ,,1.02 0.10 ,,3.04 19.70 ,,2.23 0.00 ,,1.97 9.00 ,,2.01 15.40 ,,0.82 -0.30 ,,2.8,-0.1,,,,,,
,1.50 -0.10 ,,1.02 -0.20 ,,3.07 21.10 ,,2.25 -0.10 ,,1.98 11.10 ,,2.03 16.40 ,,0.81 -0.10 ,,2.81,-0.1,,,,,,
,1.53 0.10 ,,1.02 -0.30 ,,3.08 22.40 ,,2.27 0.10 ,,2.00 13.90 ,,2.05 18.50 ,,0.82 -0.30 ,,2.83,-0.1,,,,,,
,1.55 -0.20 ,,1.02 -0.40 ,,3.10 23.80 ,,2.29 -0.20 ,,2.00 17.00 ,,2.07 20.60 ,,0.82 -0.20 ,,2.84,-0.2,,,,,,
